keys,pt_BR
461A36_1DB06F,"Ugh... lá vamos nós de novo. Mais um dia na universidade"
461A36_90182D,"Felix, você veio dormir em cima de mim de novo"
461A36_B45121,"Bem, como eu posso começar o dia?"
461A36_6F23FA,"Tomar café da manhã"
461A36_E4CF67,"Voltar a dormir"
461A36_FA6005,"Você vai até a cozinha preparar seu café da manhã"
461A36_6192A7,"Nada poderia ser melhor do que isso"
461A36_113DE2,"Felix se senta na mesa ao seu lado, encarando seu café da manhã como se não comesse há dias"
461A36_009442,"Apesar de sua expressão dramática, ele terminou sua própria refeição apenas alguns minutos atrás"
461A36_CD75C2,"Depois do café da manhã, você termina de se arrumar e vai para a universidade"
461A36_7A8F9B,"Quando chega, você encontra seu amigo do departamento de História"
461A36_E57E16,"Ei, {{GameData.player_name}}. Você se lembra da minha última pesquisa sobre folclore local? Encontrei mais informações sobre as histórias que costumávamos ouvir quando éramos crianças"
461A36_FC21AE,"Você começa a se lembrar das histórias sobre sonhos, nas quais um ser Onírico protege os sonhos das crianças e o próprio mundo, mantendo o equilíbrio entre eles"
461A36_7F7656,"A lenda diz que, quando as pessoas param de sonhar, os Oníricos perdem sua força, deixando a humanidade vulnerável aos ataques de seus maiores pesadelos"
461A36_797C3E,"Bem, de acordo com o livro que estou lendo, essas histórias são antigas e estão ligadas a rituais e templos ancestrais"
461A36_C773C5,"Este livro sugere que, se essas práticas realmente funcionassem, as pessoas poderiam alcançar um estado em que seriam capazes de controlar seus sonhos. Os sonhos poderiam até se tornar uma forma de compreender o presente ou vislumbrar o futuro"
461A36_CBA733,"Vou usar este livro no meu projeto de pesquisa. O que você achou dele?"
461A36_64E24E,"Perguntar mais sobre isso"
461A36_A83E08,"Lembrar das histórias da infância"
461A36_EB163B,"Isso é incrível. Este livro é da universidade? Eu adoraria saber mais sobre sua pesquisa"
461A36_81BAB0,"Na verdade, eu o peguei emprestado de uma pequena capela não muito longe daqui. Existem muitos livros acadêmicos sobre o assunto, mas eu queria relatos em primeira mão de pessoas que realmente passaram por essas experiências"
461A36_131995,"É isso que torna este tão fascinante. Ele foi escrito por um monge que documentou toda a sua jornada, desde seus primeiros encontros com essas práticas até o dia em que ele próprio se tornou um monge"
461A36_0CBE6D,"Vocês continuam conversando até chegar a hora da aula"
461A36_49ED75,"Assim que entra na sala de aula, você luta para se manter acordado. Depois de conseguir copiar algumas anotações, a aula finalmente chega ao fim"
461A36_D10BD0,"Enquanto todos começam a sair, Gio alcança você"
461A36_EF8DFE,"Indo para casa? Quer caminhar comigo?"
461A36_17EB14,"Você concorda com a cabeça, e os dois deixam a universidade lado a lado"
461A36_77128B,"Então... as histórias que nossos pais costumavam nos contar realmente vieram desse folclore?"
461A36_B7226D,"Havia tantas delas, mas agora mal consigo me lembrar de alguma"
461A36_8BB3BC,"Isso mesmo. Com o tempo, a maioria das pessoas simplesmente as esqueceu. Mesmo assim, muitas gerações mais velhas ainda guardam essas lendas"
461A36_E24D94,"Nós até temos festivais e tradições que mantêm as histórias vivas, embora não sejam nada parecidas com o que costumavam ser"
461A36_992488,"Eu adorava ouvir essas histórias quando era criança. Mas, com o tempo, todos pararam de falar sobre elas"
461A36_1385B1,"Lembro-me de participar de cerimônias em que nos incentivavam a valorizar nossos sonhos e nunca desistir deles"
461A36_DBCB22,"Essa é uma das crenças fundamentais por trás dessas tradições"
461A36_A9FF05,"Dizem que os sonhos revelam quem realmente somos... ou, às vezes, as partes de nós mesmos que estamos tentando esconder"
461A36_847A38,"Parar de sonhar, ou parar de perseguir seus objetivos, é como virar as costas para a própria identidade"
461A36_1698F6,"Isso é... na verdade, uma maneira muito interessante de enxergar as coisas"
461A36_E19B7F,"É melhor eu ir. Minha aula provavelmente já começou"
461A36_7678AC,"Até mais"
461A36_C1A776,"Você vai para a aula, embora permanecer acordado seja um desafio"
461A36_419A90,"Depois de rabiscar algumas anotações, a aula finalmente termina"
461A36_4D27BF,"Enquanto você sai do campus, Gio alcança você"
461A36_6D0714,"Pronto para ir para casa?"
461A36_EE8152,"Você concorda, e os dois se afastam juntos da universidade"
461A36_9AE402,"Só mais cinco minutos"
461A36_59A9C2,"Algum tempo depois..."
461A36_AAA734,"Espera... Que horas são?!"
461A36_2CA862,"Você pega apressadamente as primeiras roupas que encontra, apenas para perceber que estão cobertas de pelos do Felix. Sem tempo a perder, você veste uma roupa mais escura para esconder isso da melhor forma possível"
461A36_558852,"Você sai correndo de casa e vai para a universidade, já atrasado"
461A36_53178A,"Quando chega, a aula já começou. Você se senta silenciosamente e começa a fazer anotações"
461A36_F9DAA0,"Depois da aula, você encontra Mary"
461A36_7F7D36,"Ei. Como você tem estado?"
461A36_2526F5,"Não muito bem"
461A36_34B667,"Tenho estado bem"
461A36_02921C,"Não dormi muito bem. Acabei voltando a dormir por acidente esta manhã e terminei me atrasando... Mas chega de falar de mim. Como você tem estado?"
461A36_4870B4,"Tenho estado muito ocupado ultimamente, mas estou bem"
461A36_D90DD1,"Fico feliz em ouvir isso. Eu sei como é. Entre aulas, pesquisas e trabalhos, sempre há algo para fazer"
461A36_FAD90F,"Tenho estado bem, considerando tudo. Você está indo para casa pela Avenida Principal, certo?"
461A36_30821A,"Sim. Podemos caminhar juntos, se quiser"
461A36_02C59D,"Vocês deixam o campus juntos, conversando sobre créditos extracurriculares, hobbies e trabalhos futuros"
461A36_37BB0A,"Depois de algum tempo, vocês se despedem e entram em um prédio comercial próximo"
461A36_73C3AA,"Vocês deixam o campus juntos, conversando sobre créditos extracurriculares, hobbies e trabalhos futuros"
461A36_359839,"Depois de algum tempo, vocês se despedem e entram em um prédio comercial próximo"
461A36_4D9594,"É o seu local de trabalho"
461A36_4EEC1A,"Você se acomoda em sua mesa e passa as próximas horas trabalhando, conversando ocasionalmente com seus colegas"
461A36_BAE028,"Depois de horas digitando, você decide que precisa de uma pequena pausa, mesmo que ainda não seja hora do almoço"
461A36_F411F3,"Se esconder no banheiro e verificar o celular"
461A36_C4A7CB,"Pegar uma xícara de café"
461A36_4453CB,"Tirar uma soneca rápida"
461A36_907CF4,"Fingir que está trabalhando"
461A36_722F9B,"Você passa cerca de quinze minutos no banheiro rolando a tela do celular"
461A36_7ED479,"Mandar mensagem para um amigo"
461A36_16A8E4,"Continuar rolando pelas redes sociais"
461A36_BB880B,"Você decide mandar uma mensagem rápida para Gio"
461A36_246341,"Você decide mandar uma mensagem rápida para Mary"
461A36_E99FB4,"Você espera por uma resposta"
461A36_48674C,"Nada"
461A36_C4A04B,"Com um suspiro discreto, você guarda o celular e volta ao trabalho. Não demora muito para seu turno chegar ao fim"
461A36_F3B3CD,"Você continua rolando a tela por mais tempo do que pretendia"
461A36_18A899,"Quando guarda o celular, você se sente ainda mais exausto do que antes"
461A36_BA9C32,"Você termina seu turno quase no piloto automático e, antes que perceba, já está parado na porta de casa"
461A36_FE212B,"O café está muito mais quente do que você esperava, e você queima a língua"
461A36_EE887D,"Sentindo-se um pouco mais desperto, você volta ao trabalho e termina o resto do seu turno"
461A36_7DD09C,"O café tem um gosto surpreendentemente amargo"
461A36_126028,"Sentindo-se um pouco mais desperto, você volta ao trabalho e termina o resto do seu turno"
461A36_77FF73,"Na verdade, é uma xícara de café muito boa"
461A36_486077,"Sentindo-se um pouco mais desperto, você volta ao trabalho e termina o resto do seu turno"
461A36_80D014,"Você fecha os olhos pelo que parece ser apenas um minuto"
461A36_58C025,"Quando acorda, um colega de trabalho já está reclamando que você dormiu"
461A36_51EDF8,"Você ignora o comentário, termina seu trabalho e vai para casa depois do turno"
461A36_60F7FD,"Por sorte, você já havia terminado a maior parte do seu trabalho"
461A36_CBC42D,"O resto da tarde é passado fingindo estar ocupado sempre que alguém passa por perto"
461A36_A80416,"Você até percebe que poderia fingir que terminou o mesmo projeto amanhã"
461A36_010840,"Quando seu turno termina, você vai para casa"
