keys,en
461A36_1DB06F,Ugh... here we go again. Another day at university
461A36_90182D,"Felix, you came to sleep on top of me again"
461A36_B45121,"Well, how can I start the day?"
461A36_6F23FA,Have breakfast
461A36_E4CF67,Go back to sleep
461A36_FA6005,You head to the kitchen to prepare your breakfast
461A36_6192A7,Nothing could be better than this
461A36_113DE2,"Felix sits on the table beside you, staring at your breakfast as if he hasn't eaten in days"
461A36_009442,"Despite his dramatic expression, he finished his own meal only a few minutes ago"
461A36_CD75C2,"After breakfast, you finish getting ready and head to the university"
461A36_7A8F9B,"When you arrive, you meet your friend from the History department."
461A36_E57E16,"Hey, {{GameData.player_name}}. Do you remember my last study about local folklore? I found more information about the stories we used to hear when we were children"
461A36_FC21AE,"You begin to remember the tales about dreams, where an Oneiric being protects the dreams of children and the world itself, keeping balance between them"
461A36_7F7656,"The legend says that when people stop dreaming, the Oneirics lose their strength, leaving humanity vulnerable to the attacks of their greatest nightmares"
461A36_797C3E,"Well, according to the book I'm reading, these stories are ancient and connected to rituals and ancestral temples"
461A36_C773C5,"This book suggests that, if those practices truly worked, people could reach a state where they were able to control their dreams. Dreams could even become a way to understand the present or glimpse the future"
461A36_CBA733,I'm going to use this book for my research project. What did you think about it?
461A36_64E24E,Ask more about it
461A36_A83E08,Remember the childhood tales
461A36_EB163B,That's incredible. Is this book from the university? I'd love to hear more about your research
461A36_81BAB0,"Actually, I borrowed it from a small chapel not far from here. There are plenty of academic books on the subject, but I wanted firsthand accounts from people who actually lived through those experiences"
461A36_131995,"That's what makes this one so fascinating. It was written by a monk who documented his entire journey, from his first encounters with those practices to the day he became a monk himself"
461A36_0CBE6D,The two of you continue talking until it's time for class
461A36_49ED75,"Once inside the classroom, you struggle to stay awake. After managing to copy a few notes, the lecture finally comes to an end"
461A36_D10BD0,"As everyone begins to leave, Gio catches up with you"
461A36_EF8DFE,Heading home? Want to walk together?
461A36_17EB14,"You nod, and the two of you leave the university side by side"
461A36_77128B,So... the stories our parents used to tell us actually came from this folklore?
461A36_B7226D,"There were so many of them, but I can barely remember any now"
461A36_8BB3BC,"That's right. Over time, most people simply forgot them. Even so, many older generations still hold on to those legends"
461A36_E24D94,"We even have festivals and traditions that keep the stories alive, though they're nothing like they used to be"
461A36_992488,I loved listening to those stories when I was a kid. But eventually everyone stopped talking about them
461A36_1385B1,I remember attending ceremonies where people encouraged us to treasure our dreams and never give up on them
461A36_DBCB22,That's one of the core beliefs behind these traditions
461A36_A9FF05,"Dreams are said to reveal who we truly are... or, sometimes, the parts of ourselves we're trying to hide"
461A36_847A38,"To stop dreaming, or to stop pursuing your goals, is like turning your back on your own identity"
461A36_1698F6,That's... actually a really interesting way of looking at it
461A36_E19B7F,I'd better get going. My class has probably already started
461A36_7678AC,See you around.
461A36_C1A776,"You make your way to class, though staying awake proves to be a challenge"
461A36_419A90,"After scribbling down a few notes, the lecture finally ends"
461A36_4D27BF,"As you're leaving campus, Gio catches up with you"
461A36_6D0714,Ready to head home?
461A36_EE8152,"You agree, and the two of you walk away from the university together"
461A36_9AE402,Just five more minutes.
461A36_59A9C2,Some time later...
461A36_AAA734,Wait... What time is it?!
461A36_2CA862,"You hurriedly grab the first clothes you can find, only to notice they're covered in Felix's fur. With no time to waste, you throw on a darker outfit to hide it as best as you can"
461A36_558852,"You rush out of the house and make your way to the university, already running late"
461A36_53178A,"By the time you arrive, class has already begun. You quietly take your seat and start taking notes"
461A36_F9DAA0,"After class, you run into Mary"
461A36_7F7D36,Hey. How have you been?
461A36_2526F5,Not so well
461A36_34B667,I've been doing alright
461A36_02921C,I didn't sleep very well. I accidentally fell back asleep this morning and ended up running late... But enough about me. How have you been?
461A36_4870B4,"I've been really busy lately, but I'm doing well"
461A36_D90DD1,"I'm glad to hear that. I know how it is. Between classes, research, and assignments, there's always something to do"
461A36_FAD90F,"I've been doing alright, all things considered. You're heading home through Main Avenue, right?"
461A36_30821A,Yeah. We can walk together if you'd like
461A36_02C59D,"The two of you leave campus together, chatting about extracurricular credits, hobbies, and upcoming assignments"
461A36_37BB0A,"Eventually, you say goodbye and enter a nearby office building"
461A36_73C3AA,"The two of you leave campus together, chatting about extracurricular credits, hobbies, and upcoming assignments"
461A36_359839,"Eventually, you say goodbye and enter a nearby office building"
461A36_4D9594,It's your workplace
461A36_4EEC1A,"You settle into your desk and spend the next few hours working, occasionally chatting with your coworkers"
461A36_BAE028,"After hours of typing, you decide you need a short break, even though it's not lunchtime yet"
461A36_F411F3,Hide in the restroom and check your phone
461A36_C4A7CB,Grab a cup of coffee.
461A36_4453CB,Take a quick nap.
461A36_907CF4,Pretend to be working.
461A36_722F9B,You spend about fifteen minutes in the restroom scrolling through your phone.
461A36_7ED479,Message a friend.
461A36_16A8E4,Keep scrolling through social media.
461A36_BB880B,You decide to send Gio a quick message
461A36_246341,You decide to send Mary a quick message
461A36_E99FB4,You wait for a reply
461A36_48674C,Nothing.
461A36_C4A04B,"With a quiet sigh, you put your phone away and return to work. Before long, your shift comes to an end."
461A36_F3B3CD,You keep scrolling longer than you intended.
461A36_18A899,"By the time you put your phone away, you feel even more exhausted than before"
461A36_BA9C32,"You finish your shift almost on autopilot, and before you realize it, you're already standing at your front door"
461A36_FE212B,"The coffee is much hotter than expected, and you burn your tongue"
461A36_EE887D,"Feeling a little more awake, you return to work and finish the rest of your shift"
461A36_7DD09C,The coffee tastes surprisingly bitter.
461A36_126028,"Feeling a little more awake, you return to work and finish the rest of your shift."
461A36_77FF73,It's actually a really good cup of coffee.
461A36_486077,"Feeling a little more awake, you return to work and finish the rest of your shift."
461A36_80D014,You close your eyes for what feels like only a minute.
461A36_58C025,"When you wake up, a coworker is already complaining that you've been asleep."
461A36_51EDF8,"You brush it off, finish your work, and head home after your shift."
461A36_60F7FD,"Luckily, you'd already finished most of your work."
461A36_CBC42D,The rest of the afternoon is spent looking busy whenever someone walks by.
461A36_A80416,You even realize you could pretend to finish the same project tomorrow.
461A36_010840,"Once your shift ends, you head home."
461A36_675694,"As you slowly open the front door, you accidentally drop your keys. In that brief moment, Felix slips outside."
461A36_E2F50C,"Felix, why?! You've never done this before. He ran into the forest... It's dangerous. I have to find him before night falls"
461A36_31860B,"You head into the forest, but there are no clear signs of where Felix went. No strange noises, no meows... nothing"
461A36_A6CBC0,You keep following a narrow trail until you come across a glowing creature.
461A36_BA2B75,Run! It's coming!
461A36_89DDEC,The glowing being looks exhausted and terrified
461A36_C367DF,Ignore and keep looking for Felix
461A36_42D27E,Ask what's happening
461A36_992C44,"You carefully scan the glowing creature and the surrounding area, searching for any sign of where Felix might have gone. The creature suddenly speaks."
461A36_584902,What are you doing? We need to find shelter before the creatures of darkness arrive.
461A36_B265A7,"This has to be some kind of prank... So, where's the hidden camera?"
461A36_AD63F5,Very funny... ha... ha...
461A36_99C233,Run from what? What are you?
461A36_16B9E6,[shake rate=20 level=10]Your heart pounds as your entire body begins to shake.[/shake]
461A36_41E160,"The beast lunges toward the glowing being, trying to seize it. The creature narrowly escapes and flies straight toward you."
461A36_81F525,Run!!!
461A36_115F42,"The two of you sprint back toward the road. You rush inside your house in a panic, only to realize the glowing being has followed you."
461A36_099151,This has to be some kind of nightmare... Or maybe I'm losing my mind.
461A36_4575A2,"Thank you for giving me shelter, Dreamer."
461A36_E4174F,...
461A36_40B9EE,By the Goddess... WHAT WAS THAT?!
461A36_749EEF,My name is Ello.
461A36_C5840B,I am a guardian of dreams. My duty is to protect the dreams of every living soul.
461A36_7EEF01,"I was watching over people's dreams, but little by little... there were fewer dreams left to protect."
461A36_868355,"So I decided to come here, hoping I could help restore people's dreams. But unfortunately, the nightmares had the same idea."
461A36_618F52,The beasts born from nightmares have taken physical form.
461A36_DC7E30,Wait... You mean like the stories I used to hear when I was a kid?
461A36_E0DF49,I suppose so. Every culture has its own way of describing the beings who watch over dreams.
461A36_EB7D96,The beast chasing me wanted my powers. It won't stop until it devours every dream that's left.
461A36_9B61BC,"I think we're safe here. Those creatures thrive in darkness. It's easier for them to twist what people see, filling the living with fear before tormenting them in their nightmares."
461A36_8AB45E,I'm worried about the animals still trapped in the forest...
461A36_646633,[shake rate=10 level=5] What about my cat?! Is Felix in danger? What am I supposed to do?![/shake]
461A36_FA19BE,I don't think we should return to the forest. It's far too dangerous.
461A36_6645BF,"I can try to protect his dreams. If I succeed, he'll be safe for now"
461A36_5EC3CA,I don't know... What's the worst that beast could do?
461A36_8AE9C4,...
461A36_BD7667,"It could corrupt what remains of this world, driving everyone into madness through endless nightmares"
461A36_0069A6,I need to rest. Nearly being devoured isn't exactly easy to recover from
461A36_268F9D,Ello settles down to rest in the living room
461A36_011BAC,"You return to your bedroom, hoping Felix is still alive"
461A36_723C6C,You received a message
461A36_E4DDB9,Reply
461A36_7EAFBB,Ignore the message
461A36_AA6EA1,Your phone lights up.
461A36_7A8673,I found out more things about folklore
461A36_BBAE20,"Cool, tell me more tomorrow"
461A36_E043DC,Your phone lights up.
461A36_D3E6C1,"Sorry, I was working earlier."
461A36_E6985C,"Don't worry, Mary"
461A36_40FA22,I have news
461A36_56CF69,It's not any important message
461A36_3B8031,You keep scrolling through your phone until you eventually drift off to sleep.
461A36_CF5006,You awaken in a place you've never seen before. It looks like... a casino.
461A36_6A5168,Where am I? How did I get here?
461A36_7AEB9C,Welcome... dear Dreamer.
461A36_0C6B26,"Come closer. Place your bet... Tell me, what do you wish to achieve?"
461A36_ADF2B6,Bet your HP
461A36_726092,Refuse to bet
461A36_7537EA,"Gambling really isn't my thing. I'm not lucky... and besides, what's the prize?"
461A36_E2E215,How about a cute little kitty... the one that ran away earlier?
461A36_CEA9D2,...And if I lose?
461A36_845AB8,You'll find out what's waiting for you...
461A36_C531D8,I really don't feel like playing
461A36_52EFA0,Then accept a small courtesy
461A36_346F91,You took damage
461A36_24EF74,The rules are simple. Before us lies a deck of thirty-two cards. Each card bears the symbol of a chess piece. Every piece has its own value
461A36_79377A,Pawns are worth 10 points. Knights and Bishops are worth 30. Rooks are worth 50. Queens are worth 70
461A36_430933,"Kings do not deal damage. Instead, they restore up to 50 health"
